State,State / District Name,SAMPLE PARTICULARS - Sample Units - Urban,SAMPLE PARTICULARS - Households - Urban,SAMPLE PARTICULARS - Population - Urban,SAMPLE PARTICULARS - Ever Married Women (aged 15-49 years) - Urban,SAMPLE PARTICULARS - Currently Married Women (aged 15-49 years) - Urban,SAMPLE PARTICULARS - Children 12-23 months - Urban,HOUSEHOLD CHARACTERISTICS - Average Household Size - SC - Urban,HOUSEHOLD CHARACTERISTICS - Average Household Size - ST - Urban,HOUSEHOLD CHARACTERISTICS - Average Household Size - All - Urban,HOUSEHOLD CHARACTERISTICS - Population below age 15 years (%) - Urban,HOUSEHOLD CHARACTERISTICS - Dependency Ratio - Urban,HOUSEHOLD CHARACTERISTICS - Currently Married Illiterate Women aged 15-49 years (%) - Urban,SEX RATIO - Sex Ratio at Birth - Urban,SEX RATIO - Sex Ratio (0- 4 years) - Urban,SEX RATIO - Sex Ratio (All ages) - Urban,EFFECTIVE LITERACY RATE - Person - Urban,EFFECTIVE LITERACY RATE - Male - Urban,EFFECTIVE LITERACY RATE - Female - Urban,MARRIAGE - Marriages among Females below legal age (18 years) (%)# - Urban,MARRIAGE - Marriages among Males below legal age (21 years) (%)# - Urban,MARRIAGE - Currently Married Women aged 20-24 years married before legal age (18 years) (%) - Urban,MARRIAGE - Currently Married Men aged 25-29 years married before legal age (21 years) (%) - Urban,MARRIAGE - Mean age at Marriage# - Male - Urban,MARRIAGE - Mean age at Marriage# - Female - Urban,SCHOOLING STATUS - Children currently attending school (Age 6-17 years) (%) - Person - Urban,SCHOOLING STATUS - Children currently attending school (Age 6-17 years) (%) - Male - Urban,SCHOOLING STATUS - Children currently attending school (Age 6-17 years) (%) - Female - Urban,SCHOOLING STATUS - Children attended before / Drop out (Age 6-17 years) (%) - Person - Urban,SCHOOLING STATUS - Children attended before / Drop out (Age 6-17 years) (%) - Male - Urban,SCHOOLING STATUS - Children attended before / Drop out (Age 6-17 years) (%) - Female - Urban,WORK STATUS - Children aged 5-14 years engaged in work (%) - Person - Urban,WORK STATUS - Children aged 5-14 years engaged in work (%) - Male - Urban,WORK STATUS - Children aged 5-14 years engaged in work (%) - Female - Urban,WORK STATUS - Work Participation Rate (15 years and above) - Person - Urban,WORK STATUS - Work Participation Rate (15 years and above) - Male - Urban,WORK STATUS - Work Participation Rate (15 years and above) - Female - Urban,"DISABILITY - Prevalence of any type of Disability (Per 100,000 Population) - Person - Urban","DISABILITY - Prevalence of any type of Disability (Per 100,000 Population) - Male - Urban","DISABILITY - Prevalence of any type of Disability (Per 100,000 Population) - Female - Urban","INJURY - Number of Injured Persons by type of Treatment received (Per 100,000 Population) - Severe - Person - Urban","INJURY - Number of Injured Persons by type of Treatment received (Per 100,000 Population) - Severe - Male - Urban","INJURY - Number of Injured Persons by type of Treatment received (Per 100,000 Population) - Severe - Female - Urban","INJURY - Number of Injured Persons by type of Treatment received (Per 100,000 Population) - Major - Person - Urban","INJURY - Number of Injured Persons by type of Treatment received (Per 100,000 Population) - Major - Male - Urban","INJURY - Number of Injured Persons by type of Treatment received (Per 100,000 Population) - Major - Female - Urban","INJURY - Number of Injured Persons by type of Treatment received (Per 100,000 Population) - Minor - Person - Urban","INJURY - Number of Injured Persons by type of Treatment received (Per 100,000 Population) - Minor - Male - Urban","INJURY - Number of Injured Persons by type of Treatment received (Per 100,000 Population) - Minor - Female - Urban",FERTILITY - Crude Birth Rate (CBR) - Urban,FERTILITY - Natural Growth Rate - Urban,FERTILITY - Total Fertility Rate - Urban,FERTILITY - Women aged 20-24 reporting birth of order 2 & above (%) - Urban,FERTILITY - Women reporting birth of order 3 & above (%) - Urban,FERTILITY - Women with two children wanting no more children (%) - Urban,FERTILITY - Women aged 15-19 years who were already mothers or pregnant at the time of survey (%) - Urban,FERTILITY - Median age at first live birth of Women aged 15-49 years - Urban,FERTILITY - Median age at first live birth of Women aged 25-49 years - Urban,FERTILITY - Live Births taking place after an interval of 36 months (%) - Urban,FERTILITY - Mean number of children ever born to Women aged 15-49 years - Urban,FERTILITY - Mean number of children surviving to Women aged 15-49 years - Urban,FERTILITY - Mean number of children ever born to Women aged 45-49 years - Urban,ABORTION - Pregnancy to Women aged 15-49 years resulting in abortion (%) - Urban,ABORTION - Women who received any ANC before abortion (%) - Urban,ABORTION - Women who went for Ultrasound before abortion (%) - Urban,ABORTION - Average Month of pregnancy at the time of abortion - Urban,ABORTION - Abortion performed by skilled health personnel (%) - Urban,ABORTION - Abortion taking place in Institution (%) - Urban,FAMILY PLANNING PRACTICES (CMW AGED 15-49 YEARS) - Current Usage - Any Method (%) - Urban,FAMILY PLANNING PRACTICES (CMW AGED 15-49 YEARS) - Current Usage - Any Modern Method (%) - Urban,FAMILY PLANNING PRACTICES (CMW AGED 15-49 YEARS) - Current Usage - Female Sterilization (%) - Urban,FAMILY PLANNING PRACTICES (CMW AGED 15-49 YEARS) - Current Usage - Male Sterilization (%) - Urban,FAMILY PLANNING PRACTICES (CMW AGED 15-49 YEARS) - Current Usage - Copper-T/IUD (%) - Urban,FAMILY PLANNING PRACTICES (CMW AGED 15-49 YEARS) - Current Usage - Pills (%) - Urban,FAMILY PLANNING PRACTICES (CMW AGED 15-49 YEARS) - Current Usage - Condom/Nirodh (%) - Urban,FAMILY PLANNING PRACTICES (CMW AGED 15-49 YEARS) - Current Usage - Emergency Contraceptive Pills (%) - Urban,FAMILY PLANNING PRACTICES (CMW AGED 15-49 YEARS) - Current Usage - Any Traditional Method (%) - Urban,FAMILY PLANNING PRACTICES (CMW AGED 15-49 YEARS) - Current Usage - Periodic Abstinence (%) - Urban,FAMILY PLANNING PRACTICES (CMW AGED 15-49 YEARS) - Current Usage - Withdrawal (%) - Urban,FAMILY PLANNING PRACTICES (CMW AGED 15-49 YEARS) - Current Usage - LAM (%) - Urban,UNMET NEED FOR FAMILY PLANNING - Unmet need for Spacing (%) - Urban,UNMET NEED FOR FAMILY PLANNING - Unmet need for Limiting (%) - Urban,UNMET NEED FOR FAMILY PLANNING - Total Unmet need (%) - Urban,ANTE NATAL CARE - Currently Married Pregnant Women aged 15-49 years registered for ANC (%) - Urban,ANTE NATAL CARE - Mothers who received any Antenatal Check-up (%) - Urban,ANTE NATAL CARE - Mothers who had Antenatal Check-up in First Trimester (%) - Urban,ANTE NATAL CARE - Mothers who received 3 or more Antenatal Care (%) - Urban,ANTE NATAL CARE - Mothers who received at least one Tetanus Toxoid (TT) injection (%) - Urban,ANTE NATAL CARE - Mothers who consumed IFA for 100 days or more (%) - Urban,ANTE NATAL CARE - Mothers who had Full Antenatal Check-up (%) - Urban,ANTE NATAL CARE - Mothers who received ANC from Govt. Source (%) - Urban,ANTE NATAL CARE - Mothers whose Blood Pressure (BP) taken (%) - Urban,ANTE NATAL CARE - Mothers whose Blood taken for Hb (%) - Urban,ANTE NATAL CARE - Mothers who underwent Ultrasound (%) - Urban,DELIVERY CARE - Institutional Delivery (%) - Urban,DELIVERY CARE - Delivery at Government Institution (%) - Urban,DELIVERY CARE - Delivery at Private Institution (%) - Urban,DELIVERY CARE - Delivery at Home (%) - Urban,DELIVERY CARE - Delivery at home conducted by skilled health personnel (%) - Urban,DELIVERY CARE - Safe Delivery (%) - Urban,DELIVERY CARE - Caesarean out of total delivery taken place in Government Institutions (%) - Urban,DELIVERY CARE - Caesarean out of total delivery taken place in Private Institutions (%) - Urban,POST NATAL CARE - Less than 24 hrs. stay in institution after delivery (%) - Urban,POST NATAL CARE - Mothers who received Post-natal Check-up within 48 hrs. of delivery (%) - Urban,POST NATAL CARE - Mothers who received Post-natal Check-up within 1 week of delivery (%) - Urban,POST NATAL CARE - Mothers who did not receive any Post-natal Check-up (%) - Urban,POST NATAL CARE - New borns who were checked up within 24 hrs. of birth (%) - Urban,JANANI SURAKSHA YOJANA (JSY) - Mothers who availed financial assistance for delivery under JSY (%) - Urban,JANANI SURAKSHA YOJANA (JSY) - Mothers who availed financial assistance for institutional delivery under JSY (%) - Urban,JANANI SURAKSHA YOJANA (JSY) - Mothers who availed financial assistance for Government Institutional delivery under JSY (%) - Urban,"IMMUNIZATION, VITAMIN A & IRON SUPPLEMENT AND BIRTH WEIGHT - Children aged 12-23 months having Immunization Card (%) - Urban","IMMUNIZATION, VITAMIN A & IRON SUPPLEMENT AND BIRTH WEIGHT - Children aged 12-23 months who have received BCG (%) - Urban","IMMUNIZATION, VITAMIN A & IRON SUPPLEMENT AND BIRTH WEIGHT - Children aged 12-23 months who have received 3 doses of Polio vaccine (%) - Urban","IMMUNIZATION, VITAMIN A & IRON SUPPLEMENT AND BIRTH WEIGHT - Children aged 12-23 months who have received 3 doses of DPT vaccine (%) - Urban","IMMUNIZATION, VITAMIN A & IRON SUPPLEMENT AND BIRTH WEIGHT - Children aged 12-23 months who have received Measles vaccine (%) - Urban","IMMUNIZATION, VITAMIN A & IRON SUPPLEMENT AND BIRTH WEIGHT - Children aged 12-23 months Fully Immunized (%) - Urban","IMMUNIZATION, VITAMIN A & IRON SUPPLEMENT AND BIRTH WEIGHT - Children who have received Polio dose at birth (%) - Urban","IMMUNIZATION, VITAMIN A & IRON SUPPLEMENT AND BIRTH WEIGHT - Children who did not receive any vaccination (%) - Urban","IMMUNIZATION, VITAMIN A & IRON SUPPLEMENT AND BIRTH WEIGHT - Children (aged 6-35 months) who received at least one Vitamin A dose during last six months (%) - Urban","IMMUNIZATION, VITAMIN A & IRON SUPPLEMENT AND BIRTH WEIGHT - Children (aged 6-35 months) who received IFA tablets/syrup during last 3 months (%) - Urban","IMMUNIZATION, VITAMIN A & IRON SUPPLEMENT AND BIRTH WEIGHT - Children whose birth weight was taken (%) - Urban","IMMUNIZATION, VITAMIN A & IRON SUPPLEMENT AND BIRTH WEIGHT - Children with birth weight less than 2.5 Kg. (%) - Urban",BREASTFEEDING AND SUPPLEMENTATION - Children breastfed within one hour of birth (%) - Urban,BREASTFEEDING AND SUPPLEMENTATION - Children (aged 6-35 months) exclusively breastfed for at least six months (%) - Urban,BREASTFEEDING AND SUPPLEMENTATION - CHILDREN WHO RECEIVED FOODS OTHER THAN BREAST MILK DURING FIRST 6 MONTHS - Water (%) - Urban,BREASTFEEDING AND SUPPLEMENTATION - CHILDREN WHO RECEIVED FOODS OTHER THAN BREAST MILK DURING FIRST 6 MONTHS - Animal/Formula Milk (%) - Urban,BREASTFEEDING AND SUPPLEMENTATION - CHILDREN WHO RECEIVED FOODS OTHER THAN BREAST MILK DURING FIRST 6 MONTHS - Semi-Solid mashed food (%) - Urban,BREASTFEEDING AND SUPPLEMENTATION - CHILDREN WHO RECEIVED FOODS OTHER THAN BREAST MILK DURING FIRST 6 MONTHS - Solid (Adult) Food (%) - Urban,BREASTFEEDING AND SUPPLEMENTATION - CHILDREN WHO RECEIVED FOODS OTHER THAN BREAST MILK DURING FIRST 6 MONTHS - Vegetables/Fruits (%) - Urban,BREASTFEEDING AND SUPPLEMENTATION - AVERAGE MONTH BY WHICH CHILDREN RECEIVED FOODS OTHER THAN BREAST MILK - Water - Urban,BREASTFEEDING AND SUPPLEMENTATION - AVERAGE MONTH BY WHICH CHILDREN RECEIVED FOODS OTHER THAN BREAST MILK - Animal/Formula Milk - Urban,BREASTFEEDING AND SUPPLEMENTATION - AVERAGE MONTH BY WHICH CHILDREN RECEIVED FOODS OTHER THAN BREAST MILK - Semi-Solid mashed food - Urban,BREASTFEEDING AND SUPPLEMENTATION - AVERAGE MONTH BY WHICH CHILDREN RECEIVED FOODS OTHER THAN BREAST MILK - Solid (Adult) Food - Urban,BREASTFEEDING AND SUPPLEMENTATION - AVERAGE MONTH BY WHICH CHILDREN RECEIVED FOODS OTHER THAN BREAST MILK - Vegetables/Fruits - Urban,BIRTH REGISTRATION - Birth Registered (%) - Urban,BIRTH REGISTRATION - Children whose birth was registered and received Birth Certificate (%) - Urban,"AWARENESS ON HIV/AIDS, RTI/STI, HAF/ORS/ORT/ZINC AND ARI/PNEUMONIA - Women who are aware of HIV/AIDS (%) - Urban","AWARENESS ON HIV/AIDS, RTI/STI, HAF/ORS/ORT/ZINC AND ARI/PNEUMONIA - Women who are aware of RTI/STI (%) - Urban","AWARENESS ON HIV/AIDS, RTI/STI, HAF/ORS/ORT/ZINC AND ARI/PNEUMONIA - Women who are aware of HAF/ORS/ORT/ZINC (%) - Urban","AWARENESS ON HIV/AIDS, RTI/STI, HAF/ORS/ORT/ZINC AND ARI/PNEUMONIA - Women who are aware of danger signs of ARI/Pneumonia (%) - Urban",MORTALITY - Crude Death Rate (CDR) - Urban - Person,MORTALITY - Crude Death Rate (CDR) - Urban - Male,MORTALITY - Crude Death Rate (CDR) - Urban - Female,CONFIDENCE INTERVAL (95%) FOR SOME IMPORTANT INDICATORS - Crude Birth Rate - Urban - Lower Limit,CONFIDENCE INTERVAL (95%) FOR SOME IMPORTANT INDICATORS - Crude Birth Rate - Urban - Upper Limit,CONFIDENCE INTERVAL (95%) FOR SOME IMPORTANT INDICATORS - Crude Death Rate - Urban - Lower Limit,CONFIDENCE INTERVAL (95%) FOR SOME IMPORTANT INDICATORS - Crude Death Rate - Urban - Upper Limit,CONFIDENCE INTERVAL (95%) FOR SOME IMPORTANT INDICATORS - Sex Ratio at Birth - Urban - Lower Limit,CONFIDENCE INTERVAL (95%) FOR SOME IMPORTANT INDICATORS - Sex Ratio at Birth - Urban - Upper Limit
Madhya Pradesh,Tikamgarh,12.0,2059.0,9475.0,1851.0,1795.0,314.0,4.6,4.8,4.6,27.8,54.5,22.1,831.17,847.26,899.94,83.4,93.7,72.1,14.3,23.1,37.8,42.3,23.7,21.3,98.0,97.5,98.5,1.8,2.2,1.4,1.6,2.3,0.8,39.9,66.6,10.9,1956.55,2198.93,1687.57,54.05,61.65,45.61,43.24,41.1,45.61,75.67,82.2,68.42,20.4,14.4,,55.4,26.0,63.2,51.3,22.4,21.5,39.8,2.6,2.4,3.7,1.7,57.1,14.3,2.9,71.4,57.1,56.0,50.8,45.8,0.4,0.1,1.3,2.9,0.2,5.2,3.7,0.1,1.0,12.6,19.7,32.3,55.7,91.5,72.1,84.4,90.2,11.2,10.4,82.7,56.8,43.4,23.0,89.3,79.2,10.1,10.7,33.3,92.6,3.8,62.2,27.8,91.3,94.5,4.9,86.5,82.2,91.1,94.5,89.6,95.4,64.2,68.2,78.6,48.6,85.5,4.6,41.6,8.7,67.9,35.3,63.4,14.7,82.2,56.4,45.3,26.1,41.5,3.8,4.4,6.0,8.2,9.5,95.2,56.9,65.1,53.2,99.8,95.5,6.0,6.3,5.7,16.3,24.5,4.7,7.2,704.0,979.0
Uttar Pradesh,Kanpur Nagar,103.0,21093.0,103699.0,18908.0,17947.0,2842.0,4.99,4.45,4.92,25.36,49.46,17.84,891.65,894.3,879.46,87.83,91.19,83.9,0.88,3.84,17.08,14.89,26.53,23.43,90.07,88.72,91.66,,,,,,,41.88,71.22,7.77,860.64,899.77,814.96,344.06,423.96,250.76,306.16,372.13,229.14,546.5,681.3,389.11,16.11,10.45,,37.32,24.74,84.58,48.31,24.27,23.59,50.24,2.47,2.26,3.59,9.04,54.09,35.68,2.6,79.55,76.82,64.76,41.08,10.13,0.11,1.9,3.76,24.16,0.11,23.68,19.92,0.79,2.82,10.25,16.56,6.31,72.9,87.22,62.76,60.03,86.48,27.42,23.7,35.04,72.05,62.3,62.66,60.1,25.32,33.7,39.47,58.18,83.06,24.6,32.46,21.98,67.19,73.57,24.99,76.15,18.05,30.16,68.0,90.22,86.17,68.86,67.07,70.83,53.24,77.66,10.87,42.65,14.29,53.32,22.83,51.31,28.4,71.95,64.32,12.59,8.69,7.46,2.63,3.61,7.51,9.73,10.08,60.04,50.35,95.9,79.6,99.42,88.43,5.66,5.99,5.28,15.22,16.99,5.31,6.0,843.0,943.0
Chhattisgarh,Kanker,5.0,750.0,3248.0,658.0,577.0,87.0,3.52,3.93,4.33,24.75,42.96,5.86,808.51,991.6,958.99,94.75,98.38,90.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.82,13.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.09,4.72,3.43,14.27,21.37,3.44,4.73,604.0,1072.0
Uttar Pradesh,Varanasi,36.0,6555.0,33777.0,5937.0,5595.0,856.0,5.33,4.62,5.15,28.62,56.19,22.55,822.67,867.04,878.37,83.35,88.44,77.55,2.05,3.91,22.93,19.66,26.38,23.5,86.32,84.48,88.6,8.92,9.73,7.92,4.66,5.75,3.31,45.04,75.03,11.62,1058.87,1343.88,733.4,126.81,160.55,88.28,177.54,225.96,122.23,2577.43,3460.78,1568.65,17.19,10.01,,31.99,31.24,83.23,54.55,23.2,22.2,48.16,2.87,2.56,4.27,7.77,54.47,38.21,2.25,60.98,58.54,66.45,49.25,20.63,0.18,3.48,3.3,20.61,0.08,17.21,12.19,1.32,2.89,8.3,5.46,13.77,91.38,89.91,62.58,56.78,88.78,15.89,13.48,32.33,48.04,37.95,46.31,66.27,24.85,40.51,32.98,27.63,71.76,16.97,35.13,42.94,92.02,92.47,7.08,92.29,18.9,28.11,70.0,79.79,82.13,68.81,69.74,65.54,61.21,79.67,7.83,48.6,25.12,50.11,21.43,25.17,16.75,66.2,63.17,16.97,5.83,14.83,2.53,3.06,6.23,9.45,6.37,75.5,38.67,94.53,98.98,99.54,96.73,7.19,6.62,7.83,12.67,21.72,4.99,9.39,741.0,912.0
Rajasthan,Pali,19.0,2166.0,10850.0,2216.0,2146.0,319.0,5.0,4.4,5.0,29.1,57.8,41.1,847.0,854.0,906.0,80.0,91.7,67.0,8.8,17.4,37.9,35.4,23.1,20.9,88.6,91.8,85.1,9.9,7.1,13.1,2.4,2.8,1.9,46.3,77.1,12.0,2824.0,3111.0,2500.0,141.0,196.0,80.0,499.0,587.0,400.0,508.0,604.0,400.0,18.5,13.7,,44.1,30.5,72.1,28.0,22.3,21.7,44.6,2.9,2.5,4.3,7.3,81.6,68.4,2.7,73.7,68.5,69.8,67.8,42.1,0.3,1.1,3.9,20.1,0.2,2.0,0.7,0.6,0.6,7.1,8.9,16.0,78.0,95.0,70.5,73.6,93.2,22.7,19.4,50.0,89.2,79.3,81.5,80.6,60.6,20.0,19.4,61.6,85.1,11.5,41.6,15.5,84.5,85.9,13.3,82.0,60.6,75.1,90.7,87.5,96.3,71.2,74.3,77.4,60.5,88.7,2.8,66.1,21.0,81.8,28.4,56.0,53.9,44.4,39.2,11.2,10.5,9.2,5.6,6.2,8.6,9.6,9.9,91.2,66.7,85.0,71.0,86.3,97.8,4.9,5.2,4.5,16.3,20.8,3.7,6.1,719.0,996.0
Bihar,Madhepura,4.0,570.0,2626.0,524.0,508.0,52.0,4.4,0.0,4.6,32.9,69.6,20.2,1013.0,961.0,869.0,84.6,90.2,78.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,6.7,10.0,13.7,26.8,5.4,11.0,730.0,1408.0
Chhattisgarh,Koriya,24.0,3309.0,15207.0,2981.0,2735.0,477.0,4.84,4.23,4.6,24.15,43.27,16.22,876.03,872.3,907.07,90.19,95.84,83.92,2.08,5.1,31.38,27.19,26.66,22.56,97.94,97.68,98.24,1.92,2.16,1.63,4.45,4.42,4.5,37.89,64.67,8.83,1870.77,2033.34,1690.89,298.53,404.14,181.67,338.33,454.66,209.61,610.32,896.69,293.46,15.19,9.3,,34.46,22.33,36.74,42.86,23.2,22.0,53.0,2.31,2.28,2.85,2.33,58.33,33.33,2.67,50.0,58.33,44.69,44.21,39.68,0.4,1.28,0.88,1.16,0.36,0.48,0.12,0.32,0.0,23.09,13.43,36.52,84.81,96.3,79.35,68.04,96.3,34.57,29.57,57.79,94.78,76.09,58.91,64.57,39.35,24.35,35.0,40.99,73.26,20.44,30.36,29.29,85.43,88.04,10.43,83.26,33.7,49.83,53.59,98.19,96.69,95.18,77.41,89.46,73.19,86.14,2.71,65.66,55.12,74.25,14.17,64.13,36.24,63.59,46.2,6.25,3.53,8.7,5.17,5.38,7.48,9.28,11.38,91.2,77.47,93.05,92.74,99.5,99.73,5.89,6.72,4.97,13.71,16.67,5.11,6.66,751.0,1021.0
Odisha,Nayagarh,5.0,699.0,2460.0,534.0,497.0,54.0,3.31,2.42,3.52,22.03,51.01,4.33,,831.0,934.0,94.01,98.37,89.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,4.9,5.3,10.3,16.8,3.2,7.0,,
Assam,Dhemaji,13.0,1862.0,8914.0,1767.0,1673.0,364.0,5.0,5.0,4.8,28.3,52.5,14.1,915.0,862.0,948.0,90.1,93.9,86.0,5.8,7.5,25.7,14.6,28.2,22.4,95.0,94.7,95.3,4.6,4.9,4.3,1.0,1.5,0.5,46.9,72.8,19.6,1332.0,1393.0,1267.0,130.0,205.0,49.0,177.0,297.0,49.0,248.0,365.0,122.0,19.9,15.6,,51.4,29.4,82.0,65.4,24.2,23.6,46.3,2.5,2.3,3.8,14.5,30.7,9.1,2.1,81.8,79.5,76.0,30.3,12.4,0.3,2.4,13.1,1.5,0.2,45.6,28.1,14.0,3.4,3.9,6.2,10.1,80.0,94.3,66.1,68.7,94.3,23.0,16.0,84.2,88.0,48.1,32.2,80.3,71.3,8.5,19.5,25.8,84.5,13.2,51.3,51.2,74.0,77.5,21.4,76.9,71.6,85.2,92.9,92.9,93.1,86.8,84.1,83.0,75.8,78.6,6.0,65.4,24.5,82.2,17.1,80.4,44.2,31.5,19.6,4.6,2.8,2.0,5.7,6.2,7.2,8.3,8.9,88.5,77.8,92.7,65.3,98.5,89.1,4.2,5.2,3.2,18.3,21.4,3.6,4.9,772.0,1083.0
Rajasthan,Jalor,7.0,772.0,3998.0,785.0,755.0,148.0,5.0,5.2,5.2,32.7,64.7,47.2,1037.0,961.0,961.0,76.6,88.8,63.8,9.2,21.6,26.9,23.0,23.1,20.8,84.4,90.4,77.9,10.6,7.4,14.2,4.1,5.0,3.0,47.1,76.2,17.8,2201.0,2575.0,1813.0,183.0,309.0,53.0,419.0,463.0,373.0,393.0,566.0,213.0,19.0,13.2,,46.3,45.0,74.1,36.4,22.3,21.8,40.9,3.3,2.9,4.9,10.2,60.9,47.8,3.1,65.1,52.1,68.6,60.1,41.6,0.0,3.6,4.3,9.9,0.0,8.5,6.3,1.6,0.6,8.7,3.7,12.4,80.5,79.2,41.0,57.9,74.7,20.2,19.1,53.2,74.2,61.8,57.9,80.9,36.0,41.0,18.5,63.6,90.4,4.7,13.7,50.0,80.9,81.5,18.0,79.1,50.0,61.3,87.5,50.0,86.4,80.4,81.8,84.5,71.6,70.3,5.4,83.1,3.4,75.8,34.1,41.6,33.7,64.7,52.6,8.9,5.3,5.8,4.7,6.0,8.9,10.7,11.1,91.5,52.4,86.6,90.6,99.5,99.2,5.8,6.6,4.9,14.7,23.3,4.1,7.4,792.0,1359.0
Bihar,Katihar,7.0,758.0,3717.0,680.0,650.0,107.0,4.6,4.5,4.9,31.5,60.1,21.9,1028.0,1073.0,920.0,89.4,95.9,82.0,7.1,3.3,36.2,17.2,26.7,21.8,98.7,99.0,98.5,0.7,0.6,0.9,2.8,3.2,2.4,36.5,63.6,5.6,1603.0,2001.0,1163.0,138.0,105.0,175.0,221.0,211.0,233.0,470.0,895.0,0.0,20.4,13.7,,41.8,38.7,58.7,37.5,22.3,21.7,37.8,2.7,2.6,3.7,5.7,50.0,10.0,3.2,50.0,50.0,79.5,69.8,49.8,0.0,0.2,1.3,18.5,0.0,9.7,0.0,3.9,5.7,13.8,3.9,17.7,78.6,74.3,50.0,52.1,74.3,25.0,22.9,34.6,46.5,37.5,25.7,79.9,43.1,36.1,20.1,31.0,83.3,1.6,21.2,67.8,86.8,97.2,2.1,83.1,42.4,53.5,77.4,93.5,96.3,93.5,93.5,84.1,83.2,89.7,2.8,72.0,43.0,51.0,20.0,51.0,23.7,73.2,66.7,9.8,1.3,1.3,3.8,4.2,6.9,10.0,11.2,82.4,60.1,98.2,48.6,99.7,99.4,6.7,7.0,6.4,16.6,24.2,4.4,9.0,787.0,1343.0
Uttar Pradesh,Shrawasti,2.0,286.0,1467.0,263.0,251.0,53.0,3.71,4.14,5.13,36.88,76.96,45.83,823.53,964.71,893.33,71.26,80.27,61.01,,,,,,,,,,8.25,8.58,7.82,5.87,7.11,4.17,,,,,,,,,,,,,,,,30.3,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.77,9.71,9.8,29.62,30.94,9.46,10.08,587.0,1143.0
Madhya Pradesh,Morena,13.0,2520.0,13094.0,2543.0,2460.0,427.0,5.2,5.1,5.2,30.0,56.2,29.1,826.73,802.33,840.34,85.3,94.2,74.9,7.3,18.3,36.6,33.0,23.9,21.4,93.0,93.3,92.5,6.0,5.8,6.4,1.3,1.5,1.0,40.6,70.1,7.5,1720.51,1887.33,1521.11,420.4,571.92,239.28,537.17,600.51,461.46,817.44,929.37,683.64,19.4,11.8,,44.6,31.1,65.5,47.5,22.5,21.8,50.0,2.7,2.6,4.0,4.9,66.7,63.6,3.5,60.6,60.6,53.2,43.9,24.3,1.3,1.7,2.6,13.5,0.3,9.3,7.1,0.6,1.2,11.0,23.6,34.6,63.6,96.1,67.0,58.5,95.5,5.2,2.0,49.1,69.9,61.7,46.0,94.8,75.6,18.7,5.2,37.9,96.8,2.8,25.7,25.9,86.8,88.2,11.2,87.1,75.8,79.8,93.2,95.1,97.7,89.5,92.5,86.4,82.0,95.3,1.4,54.1,28.1,71.1,24.5,66.6,40.6,51.4,49.3,6.2,3.6,2.8,4.0,4.7,7.3,9.6,8.7,81.6,67.0,85.2,88.3,97.9,96.1,7.6,7.7,7.5,16.0,22.8,6.5,8.8,713.0,957.0
