"ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Diarrhoea/Dysentery - Person - Total","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Diarrhoea/Dysentery - Male - Total","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Diarrhoea/Dysentery - Female - Total","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Acute Respiratory Infection (ARI) - Person - Total","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Acute Respiratory Infection (ARI) - Male - Total","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Acute Respiratory Infection (ARI) - Female - Total","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Fever (All Types) - Person - Total","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Fever (All Types) - Male - Total","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Fever (All Types) - Female - Total","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Any type of Acute Illness - Person - Total","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Any type of Acute Illness - Male - Total","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Any type of Acute Illness - Female - Total","CHRONIC ILLNESS - Having any kind of Symptoms of Chronic Illness (Per 100,000 Population) - Person - Total","CHRONIC ILLNESS - Having any kind of Symptoms of Chronic Illness (Per 100,000 Population) - Male - Total","CHRONIC ILLNESS - Having any kind of Symptoms of Chronic Illness (Per 100,000 Population) - Female - Total",CHRONIC ILLNESS - Having any kind of Symptoms of Chronic Illness and sought Medical Care (%) - Person - Total,CHRONIC ILLNESS - Having any kind of Symptoms of Chronic Illness and sought Medical Care (%) - Male - Total,CHRONIC ILLNESS - Having any kind of Symptoms of Chronic Illness and sought Medical Care (%) - Female - Total,"CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Diabetes - Person - Total","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Diabetes - Male - Total","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Diabetes - Female - Total","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Hypertension - Person - Total","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Hypertension - Male - Total","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Hypertension - Female - Total","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Tuberculosis (TB) - Person - Total","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Tuberculosis (TB) - Male - Total","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Tuberculosis (TB) - Female - Total","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Asthma / Chronic Respiratory Disease - Person - Total","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Asthma / Chronic Respiratory Disease - Male - Total","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Asthma / Chronic Respiratory Disease - Female - Total","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Arthritis - Person - Total","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Arthritis - Male - Total","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Arthritis - Female - Total","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Any kind of Chronic Illness - Person - Total","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Any kind of Chronic Illness - Male - Total","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Any kind of Chronic Illness - Female - Total",CHILDHOOD DISEASES - Children suffering from Diarrhoea (%) - Total,CHILDHOOD DISEASES - Children suffering from Diarrhoea who received HAF/ORS/ORT (%) - Total,CHILDHOOD DISEASES - Children suffering from Acute Respiratory Infection (%) - Total,CHILDHOOD DISEASES - Children suffering from Acute Respiratory Infection who sought treatment (%) - Total,CHILDHOOD DISEASES - Children suffering from Fever (%) - Total,CHILDHOOD DISEASES - Children suffering from Fever who sought treatment (%) - Total,MORTALITY - Infant Mortality Rate (IMR) - Total - Person,MORTALITY - Infant Mortality Rate (IMR) - Total - Male,MORTALITY - Infant Mortality Rate (IMR) - Total - Female,MORTALITY - Neo-natal Mortality Rate - Total,MORTALITY - Post Neo-natal Mortality Rate - Total,MORTALITY - Under Five Mortality Rate (U5MR) - Total - Person,MORTALITY - Under Five Mortality Rate (U5MR) - Total - Male,MORTALITY - Under Five Mortality Rate (U5MR) - Total - Female,CONFIDENCE INTERVAL (95%) FOR SOME IMPORTANT INDICATORS - Infant Mortality Rate - Total - Lower Limit,CONFIDENCE INTERVAL (95%) FOR SOME IMPORTANT INDICATORS - Infant Mortality Rate - Total - Upper Limit,CONFIDENCE INTERVAL (95%) FOR SOME IMPORTANT INDICATORS - Under Five Mortality Rate (U5MR) - Total - Lower Limit,CONFIDENCE INTERVAL (95%) FOR SOME IMPORTANT INDICATORS - Under Five Mortality Rate (U5MR) - Total - Upper Limit
1292.31,1393.69,1177.63,228.6,234.79,221.59,6132.73,5901.22,6394.62,7861.46,7701.5,8042.41,4682.53,4277.58,5140.63,77.8,79.4,76.3,175.9,209.98,137.36,169.03,120.85,223.54,207.59,244.15,166.23,177.34,211.15,139.1,405.49,309.32,514.29,3849.83,3550.1,4188.89,18.8,96.9,13.9,83.5,26.6,95.7,61.3,56.86,66.27,43.06,18.24,84.0,77.0,91.0,50.83,71.76,75.0,92.0
187.3,205.32,166.28,4411.48,3940.2,4961.04,3230.88,3306.94,3142.18,8258.24,7849.27,8735.14,11126.68,9627.77,12874.55,97.07,97.9,96.34,632.16,707.59,544.2,809.92,570.16,1089.5,330.4,332.88,327.5,433.63,469.22,392.12,819.37,625.74,1045.16,8928.72,7545.39,10541.82,3.37,96.49,20.71,99.14,7.88,97.64,36.57,34.37,39.04,24.28,12.29,50.0,47.0,54.0,31.34,41.79,45.0,55.0
395.76,402.33,389.12,2443.27,2287.89,2600.55,3450.16,3245.16,3657.66,6452.42,6089.67,6819.59,3329.19,3037.63,3624.3,92.32,91.75,92.81,510.03,620.77,397.95,366.28,245.12,488.92,150.99,173.36,128.35,679.53,817.33,540.05,372.06,218.72,527.26,3631.56,3492.55,3772.25,3.79,83.45,11.53,100.0,11.73,100.0,45.72,38.37,53.87,26.96,18.76,62.0,61.0,64.0,36.12,55.33,54.0,71.0
919.29,907.12,932.48,3860.57,3649.26,4089.74,8096.25,7684.89,8542.41,13234.54,12640.26,13879.1,16159.02,14470.06,17990.84,99.71,99.68,99.74,1101.8,1266.04,923.68,1201.73,1047.5,1369.0,451.97,481.32,420.13,749.25,757.62,740.18,2638.57,1834.39,3510.77,16209.5,14509.25,18053.57,12.63,92.52,19.92,96.26,30.83,96.19,71.59,69.58,73.96,49.83,21.76,90.0,81.0,100.0,62.86,80.32,82.0,98.0
396.0,418.0,374.0,1466.0,1408.0,1523.0,2788.0,2468.0,3103.0,5205.0,4796.0,5607.0,8342.0,7679.0,8994.0,85.8,87.3,84.4,629.0,668.0,591.0,1529.0,1111.0,1939.0,249.0,278.0,220.0,1087.0,1289.0,889.0,1560.0,1207.0,1907.0,7676.0,7022.0,8318.0,14.6,75.5,8.5,95.6,12.1,92.0,54.0,51.0,56.0,39.0,15.0,71.0,70.0,72.0,45.0,63.0,64.0,79.0
1849.0,1894.0,1801.0,2416.0,2358.0,2479.0,7974.0,7756.0,8209.0,12428.0,12155.0,12721.0,11862.0,10470.0,13358.0,66.3,70.5,62.7,220.0,255.0,183.0,485.0,485.0,486.0,521.0,581.0,456.0,887.0,945.0,823.0,1622.0,1266.0,2005.0,7207.0,6873.0,7565.0,12.7,94.8,18.7,99.1,34.0,96.4,64.0,63.0,65.0,45.0,19.0,92.0,86.0,99.0,57.0,71.0,86.0,98.0
1081.02,1058.48,1105.17,1304.24,1358.2,1246.44,4878.16,4567.64,5210.7,7542.34,7258.89,7845.89,4054.84,4049.86,4060.18,77.63,80.0,75.1,740.69,857.55,615.54,442.88,413.55,474.29,197.25,294.03,93.61,552.98,601.87,500.62,367.67,318.97,419.83,4391.02,4452.6,4325.07,12.63,92.93,12.75,94.79,21.42,94.91,51.82,48.63,55.43,36.19,15.64,67.0,65.0,70.0,44.01,59.63,58.0,77.0
912.91,824.11,1003.37,1296.67,1233.91,1360.61,10699.92,10469.72,10934.44,14705.7,14276.89,15142.53,22383.24,21787.66,22989.99,96.33,96.18,96.48,1186.71,1441.01,927.65,2843.2,1971.42,3731.32,210.73,246.68,174.11,2010.14,2034.87,1984.95,3125.93,2954.39,3300.69,21919.15,21220.91,22630.47,16.58,80.9,42.18,93.15,36.84,92.54,49.0,47.0,50.0,31.0,18.0,70.0,74.0,67.0,40.0,57.0,61.0,80.0
614.0,600.0,629.0,1654.0,1595.0,1716.0,2704.0,2507.0,2910.0,5871.0,5459.0,6299.0,7585.0,7307.0,7873.0,95.9,96.1,95.8,349.0,446.0,249.0,1522.0,1388.0,1661.0,137.0,165.0,109.0,286.0,307.0,265.0,1109.0,958.0,1265.0,7143.0,6889.0,7408.0,11.6,88.2,9.3,88.6,17.1,71.3,37.0,37.0,37.0,25.0,11.0,45.0,44.0,46.0,30.0,43.0,39.0,51.0
238.0,257.0,219.0,1250.0,1101.0,1394.0,3283.0,3176.0,3386.0,5172.0,4966.0,5371.0,4741.0,4792.0,4692.0,89.6,91.1,88.2,252.0,309.0,197.0,880.0,747.0,1009.0,142.0,173.0,113.0,966.0,1164.0,775.0,934.0,794.0,1068.0,4570.0,4643.0,4501.0,18.3,65.4,7.6,97.2,17.7,94.0,72.0,66.0,78.0,52.0,20.0,94.0,90.0,98.0,63.0,80.0,86.0,101.0
2176.0,2156.0,2194.0,4880.0,4763.0,4995.0,10357.0,9935.0,10768.0,18225.0,17653.0,18782.0,15990.0,14284.0,17652.0,75.8,73.3,77.9,358.0,444.0,274.0,699.0,585.0,811.0,408.0,509.0,311.0,912.0,918.0,905.0,1280.0,994.0,1558.0,11012.0,9790.0,12203.0,15.4,94.1,22.9,99.0,46.4,96.6,52.0,54.0,50.0,38.0,14.0,79.0,81.0,77.0,45.0,59.0,73.0,85.0
377.16,430.98,324.44,10807.39,10370.12,11235.66,1817.51,1854.66,1781.12,13315.96,12984.68,13640.41,19392.87,19207.92,19574.0,95.27,95.54,95.02,271.41,263.05,279.59,642.83,444.37,837.21,258.02,251.43,264.48,709.24,813.43,607.21,2262.33,2436.3,2091.95,15074.65,15381.93,14773.71,14.45,71.73,18.24,98.63,29.54,92.72,96.36,96.02,97.0,67.83,28.53,130.0,121.0,139.0,87.86,104.86,120.0,140.0
