"ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Diarrhoea/Dysentery - Person - Urban","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Diarrhoea/Dysentery - Male - Urban","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Diarrhoea/Dysentery - Female - Urban","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Acute Respiratory Infection (ARI) - Person - Urban","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Acute Respiratory Infection (ARI) - Male - Urban","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Acute Respiratory Infection (ARI) - Female - Urban","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Fever (All Types) - Person - Urban","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Fever (All Types) - Male - Urban","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Fever (All Types) - Female - Urban","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Any type of Acute Illness - Person - Urban","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Any type of Acute Illness - Male - Urban","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Any type of Acute Illness - Female - Urban","CHRONIC ILLNESS - Having any kind of Symptoms of Chronic Illness (Per 100,000 Population) - Person - Urban","CHRONIC ILLNESS - Having any kind of Symptoms of Chronic Illness (Per 100,000 Population) - Male - Urban","CHRONIC ILLNESS - Having any kind of Symptoms of Chronic Illness (Per 100,000 Population) - Female - Urban",CHRONIC ILLNESS - Having any kind of Symptoms of Chronic Illness and sought Medical Care (%) - Person - Urban,CHRONIC ILLNESS - Having any kind of Symptoms of Chronic Illness and sought Medical Care (%) - Male - Urban,CHRONIC ILLNESS - Having any kind of Symptoms of Chronic Illness and sought Medical Care (%) - Female - Urban,"CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Diabetes - Person - Urban","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Diabetes - Male - Urban","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Diabetes - Female - Urban","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Hypertension - Person - Urban","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Hypertension - Male - Urban","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Hypertension - Female - Urban","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Tuberculosis (TB) - Person - Urban","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Tuberculosis (TB) - Male - Urban","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Tuberculosis (TB) - Female - Urban","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Asthma / Chronic Respiratory Disease - Person - Urban","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Asthma / Chronic Respiratory Disease - Male - Urban","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Asthma / Chronic Respiratory Disease - Female - Urban","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Arthritis - Person - Urban","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Arthritis - Male - Urban","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Arthritis - Female - Urban","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Any kind of Chronic Illness - Person - Urban","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Any kind of Chronic Illness - Male - Urban","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Any kind of Chronic Illness - Female - Urban",CHILDHOOD DISEASES - Children suffering from Diarrhoea (%) - Urban,CHILDHOOD DISEASES - Children suffering from Diarrhoea who received HAF/ORS/ORT (%) - Urban,CHILDHOOD DISEASES - Children suffering from Acute Respiratory Infection (%) - Urban,CHILDHOOD DISEASES - Children suffering from Acute Respiratory Infection who sought treatment (%) - Urban,CHILDHOOD DISEASES - Children suffering from Fever (%) - Urban,CHILDHOOD DISEASES - Children suffering from Fever who sought treatment (%) - Urban,MORTALITY - Infant Mortality Rate (IMR) - Urban - Person,MORTALITY - Infant Mortality Rate (IMR) - Urban - Male,MORTALITY - Infant Mortality Rate (IMR) - Urban - Female,MORTALITY - Neo-natal Mortality Rate - Urban,MORTALITY - Post Neo-natal Mortality Rate - Urban,MORTALITY - Under Five Mortality Rate (U5MR) - Urban - Person,MORTALITY - Under Five Mortality Rate (U5MR) - Urban - Male,MORTALITY - Under Five Mortality Rate (U5MR) - Urban - Female,CONFIDENCE INTERVAL (95%) FOR SOME IMPORTANT INDICATORS - Infant Mortality Rate - Urban - Lower Limit,CONFIDENCE INTERVAL (95%) FOR SOME IMPORTANT INDICATORS - Infant Mortality Rate - Urban - Upper Limit,CONFIDENCE INTERVAL (95%) FOR SOME IMPORTANT INDICATORS - Under Five Mortality Rate (U5MR) - Urban - Lower Limit,CONFIDENCE INTERVAL (95%) FOR SOME IMPORTANT INDICATORS - Under Five Mortality Rate (U5MR) - Urban - Upper Limit
1545.78,1664.61,1413.91,162.14,164.41,159.64,4302.24,4130.7,4492.59,6312.83,6267.98,6362.6,5577.78,4767.78,6476.62,84.9,82.3,87.0,378.34,493.22,250.86,475.62,390.46,570.13,140.53,143.86,136.83,162.14,205.51,114.03,486.43,287.71,706.96,4648.15,3822.44,5564.42,17.5,92.0,21.0,93.3,22.4,87.5,54.96,64.94,42.97,44.33,10.64,68.0,73.0,61.0,32.67,77.26,47.0,88.0
178.51,198.1,155.64,4512.64,3936.02,5185.91,3047.65,2847.41,3281.45,8295.27,7496.2,9228.27,11217.26,9577.15,13132.3,97.47,98.26,96.79,770.89,866.44,659.32,932.45,666.49,1242.97,316.13,309.18,324.25,408.88,435.07,378.3,847.68,642.43,1087.33,9285.56,7794.28,11026.81,4.02,96.92,19.78,98.75,7.73,98.4,29.14,27.95,14.08,18.82,10.32,40.0,38.0,41.0,23.6,34.69,34.0,45.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807.88,784.31,834.8,4197.82,4200.83,4194.38,7701.81,7266.79,8198.72,13027.5,12578.73,13540.11,14795.34,12745.1,17137.23,99.49,99.53,99.45,1713.98,1907.31,1493.15,1542.9,1265.6,1859.64,402.36,404.04,400.43,617.79,606.06,631.19,2075.15,1336.9,2918.42,14833.35,12768.87,17191.53,12.61,90.0,20.0,97.3,36.22,96.02,72.04,63.97,62.76,46.18,25.86,85.0,71.0,101.0,58.61,85.48,71.0,99.0
593.0,604.0,580.0,1412.0,1440.0,1380.0,3012.0,2720.0,3340.0,5638.0,5404.0,5900.0,6296.0,5440.0,7260.0,88.2,96.4,81.3,1224.0,1262.0,1180.0,1224.0,960.0,1520.0,245.0,249.0,240.0,678.0,711.0,640.0,866.0,569.0,1200.0,6136.0,5280.0,7100.0,24.0,85.3,16.2,95.4,24.7,86.8,37.0,31.0,44.0,25.0,12.0,43.0,39.0,47.0,22.0,52.0,26.0,59.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776.17,719.88,838.46,1187.48,1250.32,1117.94,3409.84,3233.14,3605.37,5605.68,5430.66,5799.33,4365.13,4344.53,4387.93,92.71,94.19,91.08,935.39,1010.36,852.43,875.68,808.28,950.25,145.95,164.18,125.77,192.38,176.81,209.61,311.8,227.33,405.25,5678.65,5544.33,5827.28,23.14,91.53,21.18,100.0,36.86,97.87,32.31,35.81,28.3,20.56,11.75,41.0,42.0,40.0,17.93,46.68,26.0,56.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,72.0,0.0,62.0
472.0,525.0,414.0,1580.0,1553.0,1609.0,2865.0,2626.0,3120.0,6024.0,5685.0,6386.0,8936.0,8973.0,8896.0,97.5,98.2,96.7,1261.0,1758.0,731.0,2534.0,2306.0,2778.0,94.0,114.0,73.0,271.0,388.0,146.0,660.0,365.0,975.0,8252.0,8356.0,8140.0,11.1,85.7,10.3,88.5,16.3,63.4,21.0,30.0,12.0,10.0,12.0,25.0,36.0,12.0,9.0,33.0,11.0,38.0
131.0,206.0,53.0,105.0,103.0,107.0,3065.0,3244.0,2880.0,3904.0,4119.0,3680.0,4742.0,4686.0,4800.0,91.2,94.5,87.8,576.0,669.0,480.0,1231.0,1184.0,1280.0,157.0,257.0,53.0,419.0,360.0,480.0,445.0,515.0,373.0,4559.0,4531.0,4587.0,50.0,64.7,4.3,100.0,35.7,92.0,45.0,46.0,45.0,23.0,23.0,56.0,53.0,59.0,21.0,70.0,25.0,86.0
719.0,790.0,640.0,4229.0,3791.0,4712.0,10365.0,9795.0,10995.0,15810.0,14903.0,16812.0,12078.0,11269.0,12973.0,90.4,92.5,88.3,1575.0,2054.0,1047.0,1271.0,1211.0,1338.0,138.0,158.0,116.0,359.0,421.0,291.0,1962.0,1685.0,2269.0,11001.0,10742.0,11286.0,2.0,100.0,20.0,100.0,20.0,100.0,46.0,46.0,45.0,41.0,5.0,58.0,52.0,64.0,22.0,69.0,27.0,89.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599.46,643.41,546.92,1339.04,1386.9,1281.83,2436.75,2330.57,2563.66,5184.9,5104.38,5281.15,6430.52,5533.31,7502.99,86.7,85.8,87.5,365.9,400.34,324.73,513.82,386.05,666.55,147.92,142.98,153.82,934.22,943.67,922.92,1237.84,886.47,1657.84,5644.22,4889.91,6545.89,28.4,96.8,45.0,98.0,33.9,100.0,67.75,56.93,80.84,32.52,35.23,78.0,65.0,93.0,34.59,100.91,58.0,97.0
695.89,695.35,696.52,440.73,260.76,646.77,1530.97,1216.86,1890.55,3247.51,2607.56,3980.1,4291.35,3780.96,4875.62,98.92,97.7,100.0,208.77,260.76,149.25,579.91,478.05,696.52,162.38,130.38,199.0,139.18,130.38,149.25,301.55,217.3,398.01,3618.65,2998.7,4328.36,2.82,100.0,35.21,100.0,7.04,100.0,56.28,70.87,25.17,43.29,12.99,78.0,100.0,52.0,25.08,87.47,44.0,113.0
